GPU Memory Track | 03-Mar-24-13:08:15 | Total Tensor Used Memory:374.9  Mb Total Allocated Memory:376.1  Mb

+ | 1 * Size:(128, 192, 3, 3)     | Memory: 0.8437 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 5 * Size:(1, 1370, 768)       | Memory: 20.068 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 5 * Size:(1, 768)             | Memory: 0.0146 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 5 * Size:(1, 768)             | Memory: 0.0146 M | <class 'torch.Tensor'> | torch.float32
+ | 5 * Size:(1, 1370, 768)       | Memory: 20.068 M | <class 'torch.Tensor'> | torch.float32
+ | 4 * Size:(1, 1369, 768)       | Memory: 16.042 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1, 1370, 768)       | Memory: 4.0136 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1, 768)             | Memory: 0.0029 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/user/Depth-Anything/depth_anything/dpt.py line 166: forward Total Tensor Used Memory:407.0  Mb Total Allocated Memory:400.3  Mb

+ | 1 * Size:(1, 1, 518, 518)     | Memory: 1.0235 M | <class 'torch.Tensor'> | torch.float32

At /home/user/Depth-Anything/depth_anything/dpt.py line 172: forward Total Tensor Used Memory:408.0  Mb Total Allocated Memory:401.6  Mb


At /home/user/Depth-Anything/depth_anything/dpt.py line 177: forward Total Tensor Used Memory:408.0  Mb Total Allocated Memory:402.3  Mb

